product_name;parameter_name;value
Kingston FURY Beast RGB 32GB (2x16GB) DDR5 6000MHz KF560C30BBEAK2-32;Memory Capacity;32
Kingston FURY Beast RGB 32GB (2x16GB) DDR5 6000MHz KF560C30BBEAK2-32;Memory Type;DDR5
Kingston FURY Beast RGB 32GB (2x16GB) DDR5 6000MHz KF560C30BBEAK2-32;Bus Speed;N/A
Kingston FURY Beast RGB 32GB (2x16GB) DDR5 6000MHz KF560C30BBEAK2-32;CAS Latency;N/A
Kingston FURY Beast 16GB DDR5 5600MHz KF556C36BBE-16;Memory Capacity;16
Kingston FURY Beast 16GB DDR5 5600MHz KF556C36BBE-16;Memory Type;DDR5
Kingston FURY Beast 16GB DDR5 5600MHz KF556C36BBE-16;Bus Speed;N/A
Kingston FURY Beast 16GB DDR5 5600MHz KF556C36BBE-16;CAS Latency;N/A
Kingston FURY Beast 32GB (2x16GB) DDR5 5200MHz KF552C40BBK2-32;Memory Capacity;32
Kingston FURY Beast 32GB (2x16GB) DDR5 5200MHz KF552C40BBK2-32;Memory Type;DDR5
Kingston FURY Beast 32GB (2x16GB) DDR5 5200MHz KF552C40BBK2-32;Bus Speed;N/A
Kingston FURY Beast 32GB (2x16GB) DDR5 5200MHz KF552C40BBK2-32;CAS Latency;N/A
Kingston FURY Beast 8GB DDR4 3200MHz KF432C16BB/8;Memory Capacity;8
Kingston FURY Beast 8GB DDR4 3200MHz KF432C16BB/8;Memory Type;DDR4
Kingston FURY Beast 8GB DDR4 3200MHz KF432C16BB/8;Bus Speed;N/A
Kingston FURY Beast 8GB DDR4 3200MHz KF432C16BB/8;CAS Latency;N/A
Kingston FURY Beast 16GB (2x8GB) DDR5 6000MHz KF560C36BBEK2-16;Memory Capacity;16
Kingston FURY Beast 16GB (2x8GB) DDR5 6000MHz KF560C36BBEK2-16;Memory Type;DDR5
Kingston FURY Beast 16GB (2x8GB) DDR5 6000MHz KF560C36BBEK2-16;Bus Speed;N/A
Kingston FURY Beast 16GB (2x8GB) DDR5 6000MHz KF560C36BBEK2-16;CAS Latency;N/A
Patriot Viper Venom 32GB (2x16GB) DDR5 6000MHz PVV532G600C30K;Memory Capacity;32
Patriot Viper Venom 32GB (2x16GB) DDR5 6000MHz PVV532G600C30K;Memory Type;DDR5
